Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle
2017,1,1,0,30,0,0,0,1.1,2,158.70000000000005
2017,1,1,1,30,0,0,0,1.0,2,151.23
2017,1,1,2,30,0,0,0,1.0,2,141.22
2017,1,1,3,30,0,0,0,1.0,2,130.35
2017,1,1,4,30,0,0,0,1.0,2,119.28
2017,1,1,5,30,0,0,0,1.0,1,108.39
2017,1,1,6,30,0,0,0,1.0,1,97.94
2017,1,1,7,30,17,17,0,1.0,1,88.24
2017,1,1,8,30,148,51,538,0.9,2,79.65
2017,1,1,9,30,283,65,731,1.0,3,72.64
2017,1,1,10,30,380,72,813,1.1,3,67.74
2017,1,1,11,30,425,75,840,1.2000000000000002,4,65.44
2017,1,1,12,30,414,74,837,1.2000000000000002,4,66.03
2017,1,1,13,30,349,68,800,1.1,4,69.42
2017,1,1,14,30,237,56,707,1.0,3,75.24
2017,1,1,15,30,97,35,501,0.9,2,82.95
2017,1,1,16,30,0,0,0,0.9,0,92.03
2017,1,1,17,30,0,0,0,0.9,0,102.07
2017,1,1,18,30,0,0,0,0.8,0,112.73
2017,1,1,19,30,0,0,0,0.8,0,123.73
2017,1,1,20,30,0,0,0,0.9,-1,134.77
2017,1,1,21,30,0,0,0,0.9,-1,145.39
2017,1,1,22,30,0,0,0,0.9,-2,154.65
2017,1,1,23,30,0,0,0,0.8,-2,160.16
2017,1,2,0,30,0,0,0,0.8,-1,158.66
2017,1,2,1,30,0,0,0,0.8,-1,151.23
2017,1,2,2,30,0,0,0,0.8,-1,141.25
2017,1,2,3,30,0,0,0,0.8,-1,130.38
2017,1,2,4,30,0,0,0,0.8,-1,119.32
2017,1,2,5,30,0,0,0,0.8,-1,108.41
2017,1,2,6,30,0,0,0,0.7000000000000001,-1,97.96
2017,1,2,7,30,14,14,0,0.5,0,88.24
2017,1,2,8,30,111,65,255,0.30000000000000004,0,79.64
2017,1,2,9,30,208,108,334,0.2,2,72.61
2017,1,2,10,30,260,148,294,0.30000000000000004,3,67.68
2017,1,2,11,30,310,155,370,0.4,4,65.35
2017,1,2,12,30,286,161,305,0.4,4,65.92
2017,1,2,13,30,189,150,111,0.4,4,69.3
2017,1,2,14,30,127,103,95,0.6000000000000001,3,75.11
2017,1,2,15,30,52,45,57,0.8,2,82.81
2017,1,2,16,30,0,0,0,0.8,1,91.89
2017,1,2,17,30,0,0,0,0.8,1,101.93
2017,1,2,18,30,0,0,0,0.7000000000000001,1,112.59
2017,1,2,19,30,0,0,0,0.7000000000000001,1,123.59
2017,1,2,20,30,0,0,0,0.7000000000000001,2,134.62
2017,1,2,21,30,0,0,0,0.8,2,145.25
2017,1,2,22,30,0,0,0,0.9,2,154.51
2017,1,2,23,30,0,0,0,0.9,3,160.05
2017,1,3,0,30,0,0,0,0.9,3,158.61
2017,1,3,1,30,0,0,0,0.9,3,151.23
2017,1,3,2,30,0,0,0,0.9,3,141.27
2017,1,3,3,30,0,0,0,0.9,3,130.41
2017,1,3,4,30,0,0,0,0.9,3,119.34
2017,1,3,5,30,0,0,0,0.9,3,108.43
2017,1,3,6,30,0,0,0,0.9,3,97.97
2017,1,3,7,30,5,5,0,1.0,4,88.24
2017,1,3,8,30,40,40,0,1.0,4,79.62
2017,1,3,9,30,77,77,0,1.0,4,72.57000000000002
2017,1,3,10,30,6,6,0,1.0,4,67.61
2017,1,3,11,30,133,133,0,1.1,4,65.26
2017,1,3,12,30,86,86,0,1.2000000000000002,4,65.81
2017,1,3,13,30,75,75,0,1.2000000000000002,4,69.17
2017,1,3,14,30,49,49,0,1.2000000000000002,5,74.97
2017,1,3,15,30,19,19,0,1.3,5,82.67
2017,1,3,16,30,0,0,0,1.4,5,91.74
2017,1,3,17,30,0,0,0,1.5,5,101.78
2017,1,3,18,30,0,0,0,1.4,5,112.44
2017,1,3,19,30,0,0,0,1.2000000000000002,5,123.44
2017,1,3,20,30,0,0,0,1.0,6,134.48
2017,1,3,21,30,0,0,0,0.7000000000000001,6,145.1
2017,1,3,22,30,0,0,0,0.5,5,154.37
2017,1,3,23,30,0,0,0,0.30000000000000004,5,159.93
2017,1,4,0,30,0,0,0,0.4,4,158.55
2017,1,4,1,30,0,0,0,0.6000000000000001,4,151.22
2017,1,4,2,30,0,0,0,0.7000000000000001,3,141.28
2017,1,4,3,30,0,0,0,0.7000000000000001,3,130.43
2017,1,4,4,30,0,0,0,0.7000000000000001,2,119.36
2017,1,4,5,30,0,0,0,0.7000000000000001,2,108.45
2017,1,4,6,30,0,0,0,0.7000000000000001,2,97.97
2017,1,4,7,30,18,18,0,0.7000000000000001,2,88.23
2017,1,4,8,30,138,56,452,0.8,3,79.60000000000002
2017,1,4,9,30,261,82,598,0.8,4,72.52
2017,1,4,10,30,262,152,290,0.8,6,67.54
2017,1,4,11,30,256,183,175,0.8,7,65.16
2017,1,4,12,30,267,175,224,0.8,7,65.68
2017,1,4,13,30,135,131,10,0.8,7,69.04
2017,1,4,14,30,230,61,644,0.8,6,74.83
2017,1,4,15,30,96,38,443,0.8,5,82.52
2017,1,4,16,30,0,0,0,0.9,4,91.59
2017,1,4,17,30,0,0,0,0.9,3,101.63
2017,1,4,18,30,0,0,0,0.9,3,112.3
2017,1,4,19,30,0,0,0,1.1,3,123.3
2017,1,4,20,30,0,0,0,1.3,2,134.33
2017,1,4,21,30,0,0,0,1.3,1,144.95000000000005
2017,1,4,22,30,0,0,0,1.2000000000000002,0,154.22
2017,1,4,23,30,0,0,0,1.2000000000000002,0,159.8
2017,1,5,0,30,0,0,0,1.2000000000000002,-1,158.48
2017,1,5,1,30,0,0,0,1.2000000000000002,-1,151.20000000000005
2017,1,5,2,30,0,0,0,1.2000000000000002,-1,141.29
2017,1,5,3,30,0,0,0,1.3,-2,130.45
2017,1,5,4,30,0,0,0,1.3,-2,119.38
2017,1,5,5,30,0,0,0,1.4,-2,108.46
2017,1,5,6,30,0,0,0,1.4,-2,97.97
2017,1,5,7,30,21,15,211,1.4,-2,88.22
2017,1,5,8,30,160,46,631,1.4,-1,79.56
2017,1,5,9,30,298,60,787,1.4,0,72.46000000000002
2017,1,5,10,30,395,69,850,1.3,0,67.46000000000001
2017,1,5,11,30,316,158,375,1.2000000000000002,0,65.06
2017,1,5,12,30,352,117,569,1.1,0,65.56
