,Temp,Dew,RH,Windspeed,Wind direction,Solar Zenith,GHI,DHI,DNI
2017-01-01 00:00:00,2,2,100.0,1.1,220.1,158.70000000000005,0,0,0
2017-01-01 01:00:00,2,1,99.4,1.0,220.9,151.23,0,0,0
2017-01-01 02:00:00,2,1,100.0,1.0,220.7,141.22,0,0,0
2017-01-01 03:00:00,2,1,100.0,1.0,222.9,130.35,0,0,0
2017-01-01 04:00:00,2,1,100.0,1.0,227.4,119.28,0,0,0
2017-01-01 05:00:00,1,1,100.0,1.0,235.2,108.39,0,0,0
2017-01-01 06:00:00,1,1,100.0,1.0,246.0,97.94,0,0,0
2017-01-01 07:00:00,1,1,100.0,1.0,256.40000000000003,88.24,17,17,0
2017-01-01 08:00:00,2,1,96.37,0.9,264.6,79.65,148,51,538
2017-01-01 09:00:00,3,1,97.83,1.0,262.90000000000003,72.64,283,65,731
2017-01-01 10:00:00,3,0,85.64,1.1,270.2,67.74,380,72,813
2017-01-01 11:00:00,4,0,74.61,1.2000000000000002,274.7,65.44,425,75,840
2017-01-01 12:00:00,4,0,73.08,1.2000000000000002,276.5,66.03,414,74,837
2017-01-01 13:00:00,4,0,77.10000000000002,1.1,280.0,69.42,349,68,800
2017-01-01 14:00:00,3,0,76.87,1.0,282.8,75.24,237,56,707
2017-01-01 15:00:00,2,0,83.85000000000002,0.9,283.1,82.95,97,35,501
2017-01-01 16:00:00,0,0,94.39,0.9,283.8,92.03,0,0,0
2017-01-01 17:00:00,0,-1,91.81,0.9,286.4000000000001,102.07,0,0,0
2017-01-01 18:00:00,0,-1,88.73,0.8,288.5,112.73,0,0,0
2017-01-01 19:00:00,0,-2,92.29,0.8,288.4000000000001,123.73,0,0,0
2017-01-01 20:00:00,-1,-2,89.03,0.9,291.8,134.77,0,0,0
2017-01-01 21:00:00,-1,-2,92.96,0.9,298.4000000000001,145.39,0,0,0
2017-01-01 22:00:00,-2,-3,91.03,0.9,305.4000000000001,154.65,0,0,0
2017-01-01 23:00:00,-2,-3,89.78,0.8,307.1,160.16,0,0,0
2017-01-02 00:00:00,-1,-3,89.09,0.8,302.5,158.66,0,0,0
2017-01-02 01:00:00,-1,-3,82.25,0.8,302.1,151.23,0,0,0
