Datetime,T-C,RH-%,Tdew-C,windDirection,windSpeed-m/s,pressure-mbar,solarRadiation-W/m2,
11/1/2014 0:00,8.32,65,2.14,15,1,1012.5,1,
11/1/2014 0:05,8.32,64.8,2.09,13,1.3,1012.5,1,
11/1/2014 0:10,8.27,64.9,2.07,37,0.8,1012.7,1,
11/1/2014 0:15,8.32,64.8,2.09,14,1,1012.7,1,
11/1/2014 0:20,8.34,64.9,2.13,28,0.8,1012.5,1,
11/1/2014 0:25,8.34,64.8,2.11,41,1.5,1012.4,1,
11/1/2014 0:30,8.37,64.8,2.14,48,2,1012.3,1,
11/1/2014 0:35,8.42,64.6,2.14,49,1.8,1012.2,1,
11/1/2014 0:40,8.44,64.4,2.12,38,1.8,1012.3,1,
11/1/2014 0:45,8.49,64.1,2.1,38,1.3,1012.2,1,
11/1/2014 0:50,8.47,64.2,2.11,25,1.5,1012.1,1,
11/1/2014 0:55,8.49,64.2,2.12,42,2,1012.2,1,
11/1/2014 1:00,8.54,64.1,2.15,35,2.5,1012.2,1,
11/1/2014 1:05,8.54,64.3,2.19,35,1.5,1012.1,1,
11/1/2014 1:10,8.57,64.1,2.18,28,1.5,1012,1,
11/1/2014 1:15,8.52,64.2,2.15,22,1.3,1011.9,1,
11/1/2014 1:20,8.49,64.4,2.17,21,0.5,1012.1,1,
11/1/2014 1:25,8.47,64.3,2.13,14,0.8,1012,1,
11/1/2014 1:30,8.44,64.4,2.12,355,0.8,1012.1,1,
11/1/2014 1:35,8.37,64.9,2.16,307,0.8,1012.1,1,
11/1/2014 1:40,8.27,65.4,2.17,321,0.3,1011.9,1,
11/1/2014 1:45,8.19,65.9,2.21,299,1.5,1012,1,
11/1/2014 1:50,8.07,66.2,2.15,319,0.8,1011.9,1,
11/1/2014 1:55,7.95,67.2,2.25,317,1.3,1011.9,1,
11/1/2014 2:00,7.79,68,2.26,319,1.5,1012.1,1,
11/1/2014 2:05,7.67,68.6,2.27,323,1,1011.9,1,
11/1/2014 2:10,7.59,69.5,2.38,292,0.8,1011.7,1,
11/1/2014 2:15,7.57,70.4,2.54,305,0.5,1011.7,1,
11/1/2014 2:20,7.54,71,2.63,329,1,1011.4,1,
11/1/2014 2:25,7.52,71.6,2.73,338,1.3,1011.8,1,
11/1/2014 2:30,7.47,71.9,2.74,326,1.3,1011.9,1,
11/1/2014 2:35,7.42,72,2.71,305,1.5,1012.1,1,
11/1/2014 2:40,7.37,72.3,2.72,314,1,1012.1,1,
11/1/2014 2:45,7.37,72.3,2.72,288,1.3,1012.2,1,
11/1/2014 2:50,7.32,72.3,2.67,299,1.5,1011.9,1,
11/1/2014 2:55,7.22,72.3,2.58,320,2.5,1011.8,1,
11/1/2014 3:00,7.14,72.1,2.46,309,2.3,1011.7,1,
11/1/2014 3:05,7.07,71.9,2.35,327,2.3,1011.8,1,
11/1/2014 3:10,7.02,71.9,2.31,323,1.8,1011.7,1,
11/1/2014 3:15,7.02,71.9,2.31,319,1.3,1011.9,1,
11/1/2014 3:20,6.96,71.8,2.23,319,0.8,1011.7,1,
11/1/2014 3:25,6.89,71.3,2.06,330,1.8,1011.8,1,
11/1/2014 3:30,6.86,71.1,2,324,1.5,1011.5,1,
11/1/2014 3:35,6.79,71.1,1.93,333,1.5,1011.5,1,
11/1/2014 3:40,6.79,71,1.91,324,1.3,1011.9,1,
11/1/2014 3:45,6.74,70.9,1.84,314,1.3,1011.9,1,
11/1/2014 3:50,6.74,70.9,1.84,326,0.8,1011.6,1,
11/1/2014 3:55,6.61,70.9,1.72,316,1.8,1011.6,1,
11/1/2014 4:00,6.46,71.2,1.63,326,2,1011.6,1,
11/1/2014 4:05,6.46,71.5,1.69,313,2,1011.5,1,
11/1/2014 4:10,6.41,71.7,1.68,316,2.3,1011.4,1,
11/1/2014 4:15,6.36,71.8,1.65,313,2.3,1011.2,1,
11/1/2014 4:20,6.28,71.8,1.57,323,2.5,1011.1,1,
11/1/2014 4:25,6.26,72.1,1.61,321,2.3,1010.7,1,
11/1/2014 4:30,6.18,72.2,1.55,319,2,1011,1,
11/1/2014 4:35,6.1,72.2,1.48,323,2,1010.9,1,
11/1/2014 4:40,6.08,72.4,1.5,327,2.5,1010.8,1,
11/1/2014 4:45,6.03,72.5,1.47,317,2.8,1011.1,1,
11/1/2014 4:50,6.05,72.3,1.45,313,3,1011.2,1,
11/1/2014 4:55,5.92,72.3,1.32,312,3.3,1011.1,1,
11/1/2014 5:00,5.97,72.4,1.39,302,2.8,1011.1,1,
11/1/2014 5:05,5.87,72.4,1.29,330,3,1010.8,1,
11/1/2014 5:10,5.87,72.8,1.37,327,2.3,1011,1,
11/1/2014 5:15,5.87,72.7,1.35,306,1.5,1011.1,1,
11/1/2014 5:20,5.85,72.7,1.33,319,2,1011.1,1,
11/1/2014 5:25,5.82,72.9,1.34,320,2.8,1011.2,1,
11/1/2014 5:30,5.82,73.2,1.4,320,2.3,1011.2,1,
11/1/2014 5:35,5.8,73.2,1.38,320,2,1011.2,1,
11/1/2014 5:40,5.8,73.4,1.42,323,1.8,1010.9,1,
11/1/2014 5:45,5.77,73.5,1.41,324,2.3,1011,1,
11/1/2014 5:50,5.77,73.6,1.43,316,2.8,1011.1,1,
11/1/2014 5:55,5.74,73.9,1.45,313,2.5,1011,1,
11/1/2014 6:00,5.85,73.9,1.56,295,1.8,1011.1,1,
11/1/2014 6:05,5.74,73.8,1.44,312,2.8,1011.1,1,
11/1/2014 6:10,5.85,74,1.58,313,2,1011.2,1,
11/1/2014 6:15,5.8,73.9,1.51,309,3.3,1011.2,1,
11/1/2014 6:20,5.82,74.1,1.57,324,2.3,1011.2,1,
11/1/2014 6:25,5.82,74.1,1.57,314,2.5,1011.2,1,
11/1/2014 6:30,5.87,74.1,1.62,303,1.8,1011.2,1,
11/1/2014 6:35,5.85,74.2,1.62,310,3,1011.1,1,
11/1/2014 6:40,5.87,74.1,1.62,317,2.5,1011.1,1,
11/1/2014 6:45,5.87,74.2,1.64,329,3,1011.3,1,
11/1/2014 6:50,5.9,74.3,1.68,320,2,1011.2,1,
11/1/2014 6:55,5.9,74.1,1.65,326,2.8,1011.2,1,
11/1/2014 7:00,5.87,74.2,1.64,312,2.5,1011.2,1,
11/1/2014 7:05,5.9,74.2,1.67,306,2.8,1011.2,1,
11/1/2014 7:10,5.95,74.3,1.73,316,2,1011.2,1,
11/1/2014 7:15,5.9,74.3,1.68,330,2.8,1011.3,1,
11/1/2014 7:20,5.92,74.5,1.74,323,2.3,1011.4,1,
11/1/2014 7:25,6,74.6,1.84,331,2.5,1011.4,1,
11/1/2014 7:30,6.08,74.4,1.88,330,1,1011.5,1,
11/1/2014 7:35,6,74.4,1.8,344,1.8,1011.4,1,
11/1/2014 7:40,6.08,74.5,1.9,355,1.5,1011.5,1,
11/1/2014 7:45,6.13,74.4,1.93,352,0.8,1011.3,4,
11/1/2014 7:50,6.05,74.7,1.9,348,2,1011.2,7,
11/1/2014 7:55,6.1,75,2.01,20,2,1010.7,16,
11/1/2014 8:00,6.13,75.1,2.06,348,1.5,1010.6,23,
11/1/2014 8:05,6.13,75.3,2.09,351,1.8,1010.8,17,
11/1/2014 8:10,6.18,75.5,2.18,310,1,1010.4,23,
11/1/2014 8:15,6.23,75.7,2.27,330,1.5,1010.3,32,
11/1/2014 8:20,6.23,75.8,2.28,314,2.8,1010.1,37,
11/1/2014 8:25,6.41,76,2.5,321,2,1010.6,33,
11/1/2014 8:30,6.46,75.9,2.53,1,1,1010.7,28,
11/1/2014 8:35,6.46,76,2.54,334,1,1010.4,27,
11/1/2014 8:40,6.43,76.1,2.53,345,2,1010,36,
11/1/2014 8:45,6.51,76.4,2.67,355,1.5,1010.1,34,
11/1/2014 8:50,6.56,76.4,2.71,333,1.3,1009.8,33,
11/1/2014 8:55,6.59,76.5,2.76,25,1.3,1009.9,29,
11/1/2014 9:00,6.53,76.6,2.72,6,1.5,1009.5,33,
11/1/2014 9:05,6.59,76.8,2.82,37,1.3,1009.9,28,
11/1/2014 9:10,6.53,77,2.8,14,2,1009.5,23,
11/1/2014 9:15,6.66,77.1,2.94,355,1.5,1009.5,27,
11/1/2014 9:20,6.71,77.2,3.01,352,1.3,1009.3,37,
11/1/2014 9:25,6.76,77.4,3.09,355,2.3,1009.4,48,
11/1/2014 9:30,6.81,77.7,3.2,355,1.5,1009.4,36,
11/1/2014 9:35,6.96,77.8,3.36,15,1.3,1009.7,47,
11/1/2014 9:40,7.09,78.1,3.54,7,1.5,1009.6,63,
11/1/2014 9:45,7.12,78.8,3.7,27,2,1009.4,46,
